sigla_icao_empresa_aerea,numero_voo,codigo_di,codigo_tipo_linha,modelo_equipamento,numero_assentos,sigla_icao_origem,sigla_icao_destino,atraso_decolagem
ACN,5100,9,N,C208,9,SBKP,SBMI,1
ACN,5114,0,N,C208,9,SBSP,SBJR,1
ACN,5144,0,N,C208,9,SBKP,SBJR,1
ACN,5146,0,N,C208,9,SBKP,SBJR,1
ACN,5198,0,N,C208,9,SBKP,SBAQ,0
ACN,5199,0,N,C208,9,SBAQ,SBKP,0
ACN,5208,0,N,C208,9,SBSP,SBJR,1
ACN,5216,0,N,C208,9,SBKP,SBAQ,1
ACN,5217,0,N,C208,9,SBAQ,SBKP,1
ACN,5220,0,N,C208,9,SBSP,SBJR,1
ACN,5226,0,N,C208,9,SBSP,SBJR,1
ACN,5244,0,N,C208,9,SBSP,SBJR,1
ACN,5357,0,N,C208,9,SBSP,SBJR,0
ACN,5114,0,N,C208,9,SBSP,SBJR,1
ACN,5121,0,N,C208,9,SBSP,SBJR,0
ACN,5125,0,N,C208,9,SBKP,SNDV,1
ACN,5146,0,N,C208,9,SBKP,SBJR,0
ACN,5198,0,N,C208,9,SBKP,SBAQ,1
ACN,5199,0,N,C208,9,SBAQ,SBKP,1
ACN,5208,0,N,C208,9,SBSP,SBJR,0
ACN,5216,0,N,C208,9,SBKP,SBAQ,0
ACN,5217,0,N,C208,9,SBAQ,SBKP,1
ACN,5244,0,N,C208,9,SBSP,SBJR,1
ACN,5999,3,N,C208,0,SBKP,SBKP,0
ACN,5999,6,N,C208,0,SBKP,SBJD,0
ACN,5114,0,N,C208,9,SBSP,SBJR,1
ACN,5121,0,N,C208,9,SBSP,SBJR,0
ACN,5125,0,N,C208,9,SBKP,SNDV,1
ACN,5144,0,N,C208,9,SBKP,SBJR,1
ACN,5146,0,N,C208,9,SBKP,SBJR,1
ACN,5208,0,N,C208,9,SBSP,SBJR,0
ACN,5216,3,N,C208,0,SBKP,SBKP,0
ACN,5226,4,N,C208,0,SBSP,SBGL,0
ACN,5244,0,N,C208,9,SBSP,SBJR,1
ACN,5244,3,N,C208,0,SBSP,SBSP,0
ACN,5332,0,N,C208,9,SBSP,SBJR,1
ACN,5900,2,N,C208,9,SBKP,SBMI,0
ACN,5121,4,N,C208,0,SBSP,SBGL,0
ACN,5125,0,N,C208,9,SBKP,SNDV,0
ACN,5146,0,N,C208,9,SBKP,SBJR,1
ACN,5198,0,N,C208,9,SBKP,SBAQ,1
ACN,5199,0,N,C208,9,SBAQ,SBKP,1
ACN,5208,0,N,C208,9,SBSP,SBJR,1
ACN,5226,0,N,C208,9,SBSP,SBJR,0
ACN,5332,0,N,C208,9,SBSP,SBJR,0
ACN,5357,0,N,C208,9,SBSP,SBJR,1
ACN,5950,6,N,C208,0,SBSP,SBKP,0
ACN,5997,6,N,C208,0,SBJD,SBKP,0
ACN,5100,4,N,C208,0,SBKP,SBGL,0
ACN,5121,0,N,C208,9,SBSP,SBJR,1
ACN,5125,0,N,C208,9,SBKP,SNDV,0
ACN,5144,0,N,C208,9,SBKP,SBJR,1
ACN,5208,0,N,C208,9,SBSP,SBJR,1
ACN,5216,0,N,C208,9,SBKP,SBAQ,1
ACN,5217,0,N,C208,9,SBAQ,SBKP,1
ACN,5244,4,N,C208,0,SBSP,SBRJ,0
ACN,5357,4,N,C208,0,SBSP,SBRJ,0
ACN,5900,6,N,C208,0,SBJD,SBUL,0
ACN,5921,6,N,C208,0,SBJD,SBSP,0
ACN,5100,9,N,C208,9,SBKP,SBMI,0
ACN,5114,0,N,C208,9,SBSP,SBJR,1
ACN,5121,0,N,C208,9,SBSP,SBJR,1
ACN,5125,0,N,C208,9,SBKP,SNDV,0
ACN,5144,0,N,C208,9,SBKP,SBJR,0
ACN,5146,0,N,C208,9,SBKP,SBJR,1
ACN,5198,0,N,C208,9,SBKP,SBAQ,1
ACN,5199,0,N,C208,9,SBAQ,SBKP,1
ACN,5208,0,N,C208,9,SBSP,SBJR,1
ACN,5216,0,N,C208,9,SBKP,SBAQ,0
ACN,5217,0,N,C208,9,SBAQ,SBKP,0
ACN,5226,0,N,C208,9,SBSP,SBJR,1
ACN,5244,0,N,C208,9,SBSP,SBJR,1
ACN,5332,0,N,C208,9,SBSP,SBJR,1
ACN,5357,0,N,C208,9,SBSP,SBJR,1
ACN,5100,9,N,C208,9,SBKP,SBMI,0
ACN,5121,0,N,C208,9,SBSP,SBJR,0
ACN,5125,0,N,C208,9,SBKP,SNDV,0
ACN,5146,0,N,C208,9,SBKP,SBJR,0
ACN,5208,0,N,C208,9,SBSP,SBJR,0
ACN,5216,0,N,C208,9,SBKP,SBAQ,0
ACN,5217,0,N,C208,9,SBAQ,SBKP,0
ACN,5232,0,N,C208,9,SBSP,SBJR,1
ACN,5244,0,N,C208,9,SBSP,SBJR,0
ACN,5100,9,N,C208,9,SBKP,SBMI,0
ACN,5114,0,N,C208,9,SBSP,SBJR,0
ACN,5144,0,N,C208,9,SBKP,SBJR,0
ACN,5146,0,N,C208,9,SBKP,SBJR,1
ACN,5198,0,N,C208,9,SBKP,SBAQ,0
ACN,5199,0,N,C208,9,SBAQ,SBKP,0
ACN,5208,0,N,C208,9,SBSP,SBJR,0
ACN,5216,0,N,C208,9,SBKP,SBAQ,0
ACN,5217,0,N,C208,9,SBAQ,SBKP,0
ACN,5220,0,N,C208,9,SBSP,SBJR,0
ACN,5226,0,N,C208,9,SBSP,SBJR,0
ACN,5244,0,N,C208,9,SBSP,SBJR,0
ACN,5357,0,N,C208,9,SBSP,SBJR,0
ACN,5944,6,N,C208,0,SBJD,SBSP,0
